sn,river,mile,species,length_cm,weight_g,DDT_ppm
1,FCM,5,CCATFISH,42.5,732.0,10.0
2,FCM,5,CCATFISH,44.0,795.0,16.0
3,FCM,5,CCATFISH,41.5,547.0,23.0
4,FCM,5,CCATFISH,39.0,465.0,21.0
5,FCM,5,CCATFISH,50.5,1252.0,50.0
6,FCM,5,CCATFISH,52.0,1255.0,150.0
7,LCM,3,CCATFISH,40.5,741.0,28.0
8,LCM,3,CCATFISH,48.0,1151.0,7.7
9,LCM,3,CCATFISH,48.0,1186.0,2.0
10,LCM,3,CCATFISH,43.5,754.0,19.0
11,LCM,3,CCATFISH,40.5,679.0,16.0
12,LCM,3,CCATFISH,47.5,985.0,5.4
13,SCM,1,CCATFISH,44.5,1133.0,2.6
14,SCM,1,CCATFISH,46.0,1139.0,3.1
15,SCM,1,CCATFISH,48.0,1186.0,3.5
16,SCM,1,CCATFISH,45.0,984.0,9.1
17,SCM,1,CCATFISH,43.0,965.0,7.8
18,SCM,1,CCATFISH,45.0,1084.0,4.1
19,TRM,275,CCATFISH,48.0,986.0,8.4
20,TRM,275,CCATFISH,45.0,1023.0,15.0
21,TRM,275,CCATFISH,49.0,1266.0,25.0
22,TRM,275,CCATFISH,50.0,1086.0,5.6
23,TRM,275,CCATFISH,46.0,1044.0,4.6
24,TRM,275,CCATFISH,52.0,1770.0,8.2
25,TRM,280,CCATFISH,48.0,1048.0,6.1
26,TRM,280,CCATFISH,51.0,1641.0,13.0
27,TRM,280,CCATFISH,48.5,1331.0,6.0
28,TRM,280,CCATFISH,51.0,1728.0,6.6
29,TRM,280,CCATFISH,44.0,917.0,5.5
30,TRM,280,CCATFISH,51.0,1398.0,11.0
31,TRM,280,SMBUFFALO,49.0,1763.0,4.5
32,TRM,280,SMBUFFALO,46.0,1459.0,4.2
33,TRM,280,SMBUFFALO,52.0,2302.0,3.0
34,TRM,280,SMBUFFALO,46.0,1614.0,2.3
35,TRM,280,SMBUFFALO,46.0,1444.0,2.5
36,TRM,280,SMBUFFALO,48.0,2006.0,6.8
37,TRM,285,CCATFISH,44.0,936.0,19.0
38,TRM,285,CCATFISH,42.0,1058.0,7.2
39,TRM,285,CCATFISH,42.5,800.0,6.0
40,TRM,285,CCATFISH,45.5,1087.0,10.0
41,TRM,285,CCATFISH,48.0,1329.0,12.0
42,TRM,285,CCATFISH,44.0,897.0,2.8
43,TRM,285,LMBASS,28.5,778.0,0.5
44,TRM,285,LMBASS,26.0,532.0,0.2
45,TRM,285,LMBASS,25.5,441.0,0.3
46,TRM,285,LMBASS,25.0,544.0,0.1
47,TRM,285,LMBASS,23.0,393.0,0.2
48,TRM,285,LMBASS,28.0,733.0,0.8
49,TRM,290,CCATFISH,41.0,961.0,8.7
50,TRM,290,CCATFISH,44.0,886.0,22.0
51,TRM,290,CCATFISH,41.0,678.0,13.0
52,TRM,290,CCATFISH,42.0,1011.0,3.5
53,TRM,290,CCATFISH,42.5,947.0,9.3
54,TRM,290,CCATFISH,44.0,989.0,21.0
55,TRM,290,SMBUFFALO,43.5,1291.0,3.4
56,TRM,290,SMBUFFALO,46.5,1186.0,13.0
57,TRM,290,SMBUFFALO,43.0,1293.0,5.6
58,TRM,290,SMBUFFALO,47.0,1709.0,12.0
59,TRM,290,SMBUFFALO,46.0,1425.0,21.0
60,TRM,290,SMBUFFALO,41.0,1176.0,8.0
61,TRM,295,CCATFISH,36.0,980.0,12.0
62,TRM,295,CCATFISH,47.5,1176.0,6.0
63,TRM,295,CCATFISH,41.5,989.0,4.7
64,TRM,295,CCATFISH,49.5,1084.0,31.0
65,TRM,295,CCATFISH,46.0,1115.0,5.2
66,TRM,295,CCATFISH,46.5,724.0,27.0
67,TRM,300,CCATFISH,36.0,847.0,18.0
68,TRM,300,CCATFISH,37.0,876.0,7.5
69,TRM,300,CCATFISH,35.0,844.0,3.0
70,TRM,300,CCATFISH,36.0,908.0,13.0
71,TRM,300,CCATFISH,48.0,1358.0,7.3
